"Dimension","Config1_Run_1","Config1_Run_2","Config1_Run_3","Config1_Run_4","Config1_Run_5","Config1_Run_6","Config1_Run_7","Config1_Run_8","Config1_Run_9","Config1_Run_10","Config1_Run_11","Config1_Run_12","Config1_Run_13","Config1_Run_14","Config1_Run_15","Config1_Run_16","Config1_Run_17","Config1_Run_18","Config1_Run_19","Config1_Run_20","Config1_Run_21","Config1_Run_22","Config1_Run_23","Config1_Run_24","Config1_Run_25","Config1_Run_26","Config1_Run_27","Config1_Run_28","Config1_Run_29","Config1_Run_30","Config2_Run_1","Config2_Run_2","Config2_Run_3","Config2_Run_4","Config2_Run_5","Config2_Run_6","Config2_Run_7","Config2_Run_8","Config2_Run_9","Config2_Run_10","Config2_Run_11","Config2_Run_12","Config2_Run_13","Config2_Run_14","Config2_Run_15","Config2_Run_16","Config2_Run_17","Config2_Run_18","Config2_Run_19","Config2_Run_20","Config2_Run_21","Config2_Run_22","Config2_Run_23","Config2_Run_24","Config2_Run_25","Config2_Run_26","Config2_Run_27","Config2_Run_28","Config2_Run_29","Config2_Run_30","Mean_Config1","Mean_Config2","Mean_General"
8,13.1440752468106,30.9169435948586,43.6894155607013,45.6457073254205,30.4045056085963,41.2737665895423,38.9629081662277,16.9128343915582,55.4681016987018,37.5330048437365,187.388992485889,24.0150380230228,29.1009901165896,63.7539809734784,62.4185779052974,29.368927666544,78.6460600007466,27.9588441301435,78.4668781580745,49.8706600599129,45.2786537231263,34.7089783553649,15.1323686134092,76.6200109959901,34.5842107065,49.2959857851431,82.2566641206124,130.800681411179,92.334319251651,41.2055662787409,1183.49531140138,3490.6837708825,811.601240215594,2131.12633674885,2752.9870156597,2336.53297444799,3067.73287562243,820.936022574996,2849.40613408461,3522.49513315164,1208.09738996396,3209.19377407736,1870.45957106039,2548.5398960633,1913.25993725209,1980.37171267564,876.137740934281,1835.68793062714,1880.95266223682,1700.92131406054,894.737005355346,2497.77386564217,1357.75351400724,1957.35783663696,2408.13641557596,393.511776450678,5223.23906291451,1887.32658937318,2533.11243407565,2232.11289197611,52.9052550595857,2112.52267119163,1082.71396312561
10,123.815712102114,163.091189017195,201.314337311406,224.434173835766,74.6632421045396,257.101499858718,103.471877038971,88.7075471014349,194.813838299313,257.328404403889,237.427165243034,177.733239420235,136.495011588657,154.46405636196,104.738987937487,155.477274383445,57.1150214477718,62.190430986899,364.13050462334,203.142725724393,125.320633710952,77.3663711532363,438.780950293396,245.149177521227,208.463246375999,183.220954835512,74.549164393982,296.663018126384,188.948805620069,163.377083255817,21261.9925406989,3330.90310773513,4341.18070145674,13506.0187465884,8395.41231362232,22236.5700689312,11752.0980241519,11487.1140750554,10049.688799236,11778.5223918817,10540.6589585649,7030.42414753208,3108.39315111811,24651.5050188387,3571.58743292886,6650.27362960175,21420.2450010323,7718.09930212779,7282.56771359453,10350.1345365888,11853.9882608522,16244.7471542153,13553.0782611457,12470.7412828478,22094.604583859,9742.43043496266,8520.9500580339,7239.35757521883,14759.7777167215,7975.54199974105,178.116521469238,11497.2868996294,5837.70171054934
15,3774.04975740896,613.86797318161,3055.06119098216,3249.58476059088,3321.61786922133,2088.49935365484,4892.061664828,2927.7722294125,2579.14354033393,3635.18244747088,5290.47441066648,3207.80749529473,2327.48914774976,1673.94724943531,1931.74499805883,5511.93921526865,3294.20501753495,4278.92123453252,4822.03358662303,2487.84839903498,3750.0343571645,3549.92953097222,2761.00186530286,2788.78223990872,2918.98589830771,4083.33547892487,1610.25517898666,6698.61609608613,1911.43921935586,3897.08854600392,127062.91023613,131800.791110748,116370.263374844,123838.093690335,127984.707613812,95839.596537593,107215.061792249,46138.0643969077,115582.370840655,89292.9878468333,108139.664797317,127256.922411183,62954.5610452717,136264.83501582,119035.031072642,123159.558790991,150787.556991141,118952.300160567,134156.999920666,117222.139524705,133953.888424484,75477.5144309304,108715.450508864,162835.441517733,83618.9324189293,127434.351946368,119974.544495608,122221.8363567,122406.050887208,117040.181299935,3297.75733174326,115091.086981906,59194.4221568245
16,4030.04402106874,1639.18023618704,6346.239188443,4346.10104128437,2190.77387547335,3567.21639607766,3800.78123160131,2960.52596685982,2168.9358067715,5687.04450865533,2281.13377471243,1699.76049101294,4962.88510743122,5666.42510446433,2863.46707143318,3919.9548043165,12429.6812335714,2490.22781165419,4717.38323457002,3128.03505450987,5168.25233178319,8037.55305047166,1105.4631773671,1381.99434039274,8954.49099791049,2252.32415314605,2005.97696394252,2679.45307523234,1972.62840293947,4408.05485808905,126986.865747286,77920.8694192074,145666.988569808,151825.595648868,163552.229426325,155934.098407596,164742.593321567,201699.978561144,111797.761101313,128971.594619555,164129.694431354,129636.789233498,172121.891922411,173721.010424019,175119.048824524,125805.148163326,143661.658267463,131341.605500325,55464.2019218918,145291.472004327,160860.899595156,155755.001612928,98590.0619035072,185900.452695605,158494.111639909,187696.242695332,125896.527290714,201564.809795592,149968.703003478,155904.848717443,3962.06624371243,147534.091815516,75748.0790296141
24,65344.9977837836,24377.2636424681,27946.7258266996,41450.2209349447,39757.5265098875,46714.6198326418,49315.3365266777,49115.4667444918,82393.7288799574,40234.226170501,52443.1723032159,22396.7541084961,49371.3755391556,53146.1294887154,21370.4820887641,64510.5886084421,56861.1733210434,40172.9177000831,46540.221670046,88649.2807465845,26707.5307412124,51005.0250826304,28488.2775314347,20381.5381015623,60237.1030842802,71459.6651921633,46264.8554528196,55247.3023490938,92271.6228471019,5999.64193809488,514327.857885405,422554.174076246,506354.30980902,494042.904675398,500604.217359242,447823.276066649,322287.987694451,461915.435699642,483368.105961145,373890.015549423,399746.847107318,458901.082622197,314070.969046359,458577.061989005,387391.862105124,486480.869819063,479604.881938142,440579.105801668,458303.132070069,439839.471590117,424660.625767846,433400.836770539,487345.946992622,450037.125394934,421272.393863384,511216.083448155,445201.910685409,482893.489182248,424164.706271255,339874.710972273,47339.1590248998,442357.713273812,244848.436149356
27,67539.3335301161,56596.6937627444,115492.826387841,40517.1822534536,154924.20877166,163227.43160455,124707.584018872,72843.3433385785,126083.401869182,68414.8961615493,81869.8756318271,87495.3001215593,112485.076301729,64501.2518721986,101851.225566728,93777.3015135661,35315.5998928609,84208.0157489311,98028.0556659728,81950.699747454,103651.908425582,54487.3218985709,66102.0060571215,123914.453950556,125183.540575179,82894.7728720874,93285.2835509404,95672.2961135176,50023.4269605706,148495.001867481,444108.062069639,501048.229785989,606226.120613728,577685.976156618,609224.265003702,580767.192115451,645325.418054001,607357.572438378,461930.063822121,475116.218974695,545844.211918558,522078.549758129,624695.291824291,612911.312131937,546128.130496765,595963.258307858,569048.496847699,498414.169602141,524294.873066347,590120.883485622,479778.592857708,421651.578568821,574119.160940678,576751.162068358,596468.656265891,488141.069671984,550635.222942279,600184.672994929,467408.251659709,521533.78372155,92517.9772010993,547165.348272186,319841.662736643
28,65006.7314007063,35803.2427233372,79111.4535799195,83588.6624050922,56038.5973595336,108139.792318835,96837.6669743966,71221.9789793393,102100.154882352,108982.62052757,111067.544781529,53584.707582748,83389.5798139428,100686.503030166,82529.4481130462,155947.166916194,83901.9389445586,124478.979449506,145326.997566814,99992.7109685243,176948.174072278,66551.045914434,41266.3057191635,95929.1644964725,172951.370170271,163942.302295407,62393.1828944787,87810.6611105635,98317.6293521885,82707.8179154771,575544.523999301,538428.32105435,673202.828571333,629218.267060368,542677.041317718,648789.672975789,611844.301675567,676334.861359231,377148.637199664,480234.262325803,518977.206863492,530348.880589526,642616.884417385,565628.570057319,450199.674655254,674560.955187122,536308.404828127,630911.300706591,626061.840595613,592254.396882653,591306.874895866,548894.671134155,618965.049407313,575750.024494668,651837.880816531,669273.962940099,596949.13321416,646763.158267662,624851.246532849,616644.971996574,96551.8044086282,588750.926867403,342651.365638015
33,181177.500656677,118979.467745604,195877.291628392,194827.44022161,231385.777142186,272000.666935408,314928.216334279,268394.294564089,183207.032749499,147638.754938586,205096.967515181,187091.183080654,217966.619818482,227964.510572912,180984.993336487,240419.250168643,150870.545741938,263492.03974664,127654.277576234,158774.181537862,160358.394721038,199078.892849029,278729.678323852,195505.541161404,203603.131436127,117226.750270995,130851.363755123,158775.666661482,202583.861017263,213904.143225881,782818.614504776,785088.687672386,715821.054863964,761716.105864608,757364.733156551,870603.819310148,859725.7900019,766235.997588332,621033.790785554,697658.749111313,904166.627124593,782817.878361834,800034.895204941,725532.931576483,873186.494938736,750803.460639434,941582.024463357,869508.730663776,822671.756972289,828115.342248735,837506.586281686,786311.171603886,789688.750007586,834891.212863889,918070.212656124,687175.939608067,961031.85952326,884016.409205459,746602.259390982,892102.762252711,197644.947847785,808462.821614912,503053.884731349
42,439336.291338736,680255.5349743,373206.628477649,398092.458229755,486052.878131528,437463.617814082,633027.834229863,365308.343887292,573920.977776539,492752.02467146,481512.685476735,602205.167477956,390510.203207009,241612.542938547,642024.919110853,466685.57256392,506512.19991649,491754.780446719,332520.527121915,523388.097906441,371882.365457219,492775.967747046,519752.192458116,248061.092559176,332379.9918966,392240.191063417,542032.129046113,631846.364075728,514147.300539827,333508.844636559,1196108.15092441,1343930.31320543,1170635.64136733,1219638.65262282,1016750.33758901,1282021.81979421,1260139.62979834,1275882.13551799,1350288.88853329,1374520.66001669,1303241.2430473,1293414.1468724,1262054.52802407,1121756.52838445,1265931.65539062,1328586.28021315,1309480.84058236,1085042.64237295,1201164.42743784,1408873.60981794,1351237.90965283,1294409.91483716,1163988.32168354,1218342.5002891,1071682.72987456,1114743.29803866,1193718.44482945,1330400.51013667,1280280.81441958,1304778.81166722,464558.990839253,1246434.84623138,855496.918535316
44,499693.796384668,431316.201181082,463229.905294633,470893.840008139,465828.934334814,529208.417136734,456086.308058446,739321.055520858,514073.030232845,605647.255614457,666890.189592137,418538.107882794,602950.525028159,461137.668143591,596171.066202535,629374.548438118,524597.458598399,518876.842018262,416528.339446574,623086.933224557,633768.001528395,578987.263989651,509478.201872154,143835.576336818,576356.937373622,614342.46356169,528093.684227011,485919.769833161,416648.772342991,541158.607619557,1475080.98704154,1295546.85400996,1433911.85747807,1376743.37813851,1426952.76046511,1309867.70180318,1381054.92064918,1363461.22161652,1438428.84599442,1294332.14109788,1367932.27121686,1351478.77381742,1394745.96273164,1428509.60961621,1464188.2670686,1143464.85780166,1142324.96582399,1302864.12763155,1235374.10392333,1391860.62369311,1049914.95075534,1458064.37101571,1349513.08387874,1482399.30258475,1257622.94359985,1461282.25408753,1222179.32438788,1539143.59547815,1410440.75726562,1281316.11066442,522067.990034228,1351000.03084456,936534.010439393
51,911144.14230959,808314.320772798,611718.233796845,683035.586208968,951532.747915445,580191.101045099,1073844.8493211,963886.225105402,802463.887120924,721201.051955727,1031283.28708135,626639.386219374,743252.60599914,737284.489495529,655721.18940029,707863.171409689,851041.366338251,934853.92116224,822902.980014328,638628.619194323,737697.011446006,673305.040011495,846418.279598811,1101802.97323464,616096.068750632,798224.938360954,1068975.43728029,919714.609338884,931949.193538337,749740.314779223,1759138.76086259,1848758.04156306,1832654.10891255,1744129.77953385,1799681.07763537,2051384.95815544,1598976.16928988,1992320.400669,1616802.21527775,1731713.21534207,1788776.92787417,2181368.53843191,1965425.89991341,1653399.63927245,1785949.94053,1616509.33604535,1644649.93343396,1788596.52752656,1933691.66498778,1747885.49808921,1850189.01782079,1820064.33955539,1946329.26557761,2021388.80161817,1943056.51632335,1862847.44924906,2005774.86543127,1616077.7076119,1760476.01496831,1408959.69579014,810024.234273523,1810565.87690975,1310295.05559163
54,793237.074117344,913239.947121052,1247676.348139,753032.109537268,505622.373159371,986110.526947361,1077694.60577255,901915.704308724,1090168.90811064,1000405.23042553,1027702.311607,1087423.71523957,1050389.93979904,959511.867228473,1012552.73412079,974379.542612575,1201050.68397829,1070633.89878143,838163.044898598,931122.186844876,614126.390344477,966104.838465384,850206.696802695,1213751.18879456,1034320.81784046,629527.883181917,1024838.67523741,1217953.05430281,1330804.98232543,934496.881838478,2028297.90974635,2330802.53309573,2255460.62843214,1814196.08518557,1876967.59642873,2176258.63230563,2242552.63139013,1817158.35131479,1884336.42386624,1942920.15651668,2058554.53004353,2447804.06656875,1885462.7671213,1886336.0444866,2071607.29804864,2182727.49105393,2175209.98235789,2072294.59825028,1708472.97860142,1890897.36534916,1773714.4505531,2167328.82948982,1984732.85490103,2316217.57427198,2340101.736952,1940413.70622577,1908573.11379159,1979344.64153476,1879053.02256678,1990210.99065167,974605.472062771,2034266.96637007,1504436.21921642
61,1215740.67182005,1562746.6292765,1594185.23356096,1300642.93375662,1091822.41622018,1386240.57683517,1332090.20019011,1838133.93704634,1742202.26396352,1037360.19007443,995830.644582418,1279133.33614571,1417469.27018892,875850.31617117,821708.896888299,1772308.3289802,1235000.13978173,1580776.29250394,930241.668610565,1267748.61363452,1353793.90149833,1328836.05332045,1189006.1285033,1713407.1017266,1233287.77847936,1284751.23775427,1323975.70835792,1143354.43298501,1455595.55293951,1242470.14938235,2604445.27253728,3759682.58086679,3332171.66387802,3386785.16512603,2584270.62481434,3891228.1686165,3356876.98118704,2444192.94619269,3488329.12725318,2704151.43278604,2067960.28136566,3155273.77317007,3533960.55166984,3472296.68379619,2693507.3825344,4068060.59015809,3931707.38910087,2466935.45284512,2591660.79317805,2844861.22730043,3083625.8484479,2261897.9022478,3834393.32018925,2472334.96474204,2944513.20349753,3708585.41858181,2471994.31416653,2515658.90144099,3221422.41450292,3183559.53824154,1318190.35350595,3069211.4638145,2193700.90866022
73,2457777.27646274,2321904.70260462,2026104.92660169,1763047.34627394,1702377.51520166,2354682.41321292,2464035.18564766,1357391.32791197,2536407.97360498,2218576.31992687,2714446.2200908,2442291.73100777,1490319.04518491,2534716.84360506,2720617.61041462,2003747.5744116,2525543.94766524,1897675.28396559,1563809.00147322,1908040.30962371,2341979.64202084,1901143.67109016,2284035.2368783,1402056.83155245,2519277.19247447,2290942.6118533,1993805.89346797,1943628.62024539,2191647.80116158,1649421.79734404,3987697.66629075,4813537.00383265,4432225.71834983,3619869.70813142,4804870.74833759,4206385.49857336,5131038.23815708,4596635.63817921,3554111.43648484,4500277.75860071,4541537.47541254,5216213.42329187,4550969.91023805,3495247.99626496,5280120.08386824,4019449.21354778,3148282.64756505,4761021.27032632,4974954.21659989,4526242.53729178,4391673.90305824,4903057.92945973,2821522.39744739,4883911.9533009,4444738.43218559,5135249.57259079,4821001.49337435,3617928.05632059,4891333.29530113,4403377.76222752,2117381.72843267,4415816.099487,3266598.91395984
75,2720129.84960664,2777252.79273858,2051422.55635746,2445930.44229558,1852511.57227233,2554250.65218903,2394176.44023317,2168471.9526413,2255811.56419078,1614872.64079531,2256033.25514104,2321078.74528521,2490345.65258368,2655166.55269021,2163567.70192994,2563930.66663887,2637997.43076568,1727920.19110634,2715372.65972181,1967961.51739599,2555442.31852019,2451442.05212174,2053761.34207725,2663244.58728411,2519486.24293427,2810528.81978648,1820971.42236682,1361926.03819538,2961339.55603425,2325965.1405271,5172002.53904271,5400356.95615029,3930044.29363672,4986208.12894317,4141207.04114392,5079929.14674936,4616929.40270837,4442088.81877645,5302561.486264,5005209.50768885,4398489.78840523,4155319.13447709,4072093.37191975,5679848.04701728,4441709.06862554,4438376.17664252,4348783.48308522,5125096.28866328,4227394.05614093,4390314.74465044,3890466.25459304,4688352.96863852,4654313.29236951,5632193.92919978,4408031.89364462,5457488.64945822,4119899.11063743,5268776.94418912,5053369.12117057,5286867.70045587,2328610.41188089,4727124.04483626,3527867.22835857
77,2839678.75948055,2973010.52218676,2459088.16547283,2565635.58672257,3066895.06394571,1951077.96263474,2413895.92154753,2166182.86646369,3175727.94592673,2175304.36629285,2105052.80514682,2518415.67671845,2159613.51460517,1990440.19831944,2009824.07866558,2590287.12638669,2588307.59117896,2977594.26000316,2027928.13024895,2658664.74452344,2737425.50048964,2929231.30043116,2837661.43709405,2659683.87690937,1981612.80762954,3123846.98142287,2416407.64057445,2453036.89781225,2673529.59302765,2724065.41054591,5466858.50649442,5329072.96122449,4668141.56175992,3353859.02309487,4527008.588801,4078206.02701832,5022249.96033556,4893989.65643257,5177517.47827685,5141131.45461656,4970900.42083801,5329077.15180886,5180895.81403807,5921317.06922204,3878670.61039447,5058550.01026516,4446975.43531482,4777714.64740336,4720705.31125939,5170674.27346195,5023754.30149121,4821777.8955285,4083031.1423076,4590797.93867519,5114651.1572976,4622515.54494832,5225759.78174858,4787999.97635606,4470181.36332129,5104874.47095512,2531637.55774692,4831961.98448967,3681799.77111829
